ba,drought_id,worst_index
AVA,01_002,4
AVA,03_001,1
AVA,02_002,2
BPAT,03_002,1
BPAT,01_015,3
BPAT,01_028,2
CISO,03_001,4
CISO,02_001,5
CISO,03_007,1
CISO,01_016,3
CISO,01_034,2
IPCO,01_002,4
IPCO,03_001,1
IPCO,01_017,2
NEVP,01_001,4
NEVP,01_002,5
NEVP,02_007,1
NEVP,01_014,3
NEVP,02_014,2
NWMT,01_009,3
PACW,03_001,1
PACW,01_012,3
PACW,01_024,2
PGE,02_004,2
PSCO,01_007,3
PSEI,01_005,4
PSEI,05_001,1
PSEI,05_001,3
SRP,01_002,4
SRP,02_006,1
SRP,02_011,2
SWPP,01_004,5
SWPP,01_017,3
WALC,01_002,4
WALC,01_022,3
WALC,02_007,2
